弘 樹 ， 你 在 做 什麼,諾亞方舟 ， 出航
幹嘛 搞 得 這麼 誇張,聽說 在 舉行 這場 發佈會 之前 就 已有 商業間諜 在 暗地 裡 展開 各種 活動 了
那 是 什麼 東西 啊,那 就是 「 繭 」 啊
爸爸 ， 警局 的 高層 好像 也 來 了 ， 不要 喝 得 太 多 啦,知道 啦
這 裡 應該 是 隨便 吃 的 吧,大概 是 吧
不是 告訴 過 你 要 用 小孩子 的 口氣 說話 嗎,這樣 可以 吧
怎樣 ， 這樣 可以 吧,好 可怕
難道 園子 也 被 選 上 了 嗎,因 為 鈴木 財團 也 出資 贊助 了 遊戲 開發
再說 ， 你們 真的 有 被 邀請 嗎,太 失禮 了 吧
你們 知道 嗎 ， 人 在 出生 的 時候 就 已經 決定 他 的 一生 了,是 啊 是 啊
沉睡 的 小五郎 是 睡 著 時 讓 老婆 逃掉 了 才 會 有 這個 綽號 的 吧,才 不是 在 睡覺 的 時候 呢
你 是 誰 啊 ， 大叔,我 是 「 繭 」 的 研發 負責人 ， 堅 村
你們 的 父母 沒有 教 你們 什麼 叫作 公共道德 嗎,了不起 死 了 ， 不 借 你 錢 了
大叔 ， 你 是不是 不 認識 我們 ？ 如果 和 我們 作對,明天 就要 被 炒魷魚 了 哦
那麼 ， 在 這 之前 ， 讓 我 先 把 你們 從 這 裡 趕出去 吧,走 吧
你 這個 月 去 哪兒 了,幫 爸爸 做事 去 了
媽媽 呢,她 說好 久 沒 回 日本 了 ， 所以 去 參加 同窗 聚會 了
一定 是 他 很 努力 想 出來 的,就讓 他 說說看 吧
為 什麼 啊,因 為 「 繭 」 的 樣子 很 像 搖籃
不 對 ， 我 覺得 是 一 ， 表彰,那個 也 不 對
看來 他 還 真的 是 很 喜歡 這 東西,在 此類 銅像 中 有 如此 充滿 鬥志 的 姿態 真是 罕見
大概 跟 他 自己 很 像 吧,糟糕
秀 樹 ， 別 在 這 裡 踢球,是
好像 有點 過分 了,才 不會 呢
看上去 都 是 些 便宜貨,不會 吧
這種 地方 怎麼 可能 放 貴重 的 東西 呢,說 得 也 是
堅 村 先生 在 哪 裡 ， 我 想見 他,是 ， 我 馬上 去 找 他 ， 工 藤 先生
麻煩 您 簽名,先生 ， 我 也 要
你 看起來 很 精神 ， 我 也 就 放心 了,你 也 是
我 必須 馬上 趕回 會場,你 就 直接了當 的 說 ， 如何
弘 樹 托付 給 你 的 DNA 探查 程式 ， 你 到底 打算 要 多少錢 才 肯 賣 給 我,我 並 沒 打算 向 你 勒索 ， 我 只 希望 你 能 贖罪
主任 ， 工 藤 先生 說 要 見 您,打攪 了
怎麼 了 ， 主任,這次 又 有 什麼 花樣 呢
接下來,請 欣賞 今天 的 特別 嘉賓
什麼 ， 洋 子 也 來 了 嗎,得 去 搶 最 前面 的 位子 才 行
千葉 ， 封鎖 所有 的 出入口,遵命
好像 來 了 很多 大人物,是 的
警視廳 副 總監,金融界 的 實業家
請 帶 我 過去,是
好 ， 讓 各位 久等 了,大家 請到 「 繭 」 的 會場 去
爸爸 和 柯 南 到 哪 裡 去 了,警官 大人
哦 ， 毛利,你 也 來 啦
凶器 可能 是 兇手 珍愛 的 東西 吧,要 不 就是 留下來 會 讓 人 知道 兇手 是 誰
話說回來 ， 為 什麼 開發 負責人 會 呆 在 這種 地下室 呢,因 為 主任 說 在 人 出入 頻繁 的 地方 無法 集中精力 ， 所以 一個 人 在 這兒
桌上 的 鍵盤 會 不會 是 死亡 訊息,什麼
那 不是 柯 南 嗎,柯 南 為 什麼 會 在 遊戲 參加者 的 行列 裡
可是 這樣 園子 你 . . .,沒關係 ， 我 一點 興趣 都 沒有
聽說 你 跟 堅 村 是 長久以來 的 老朋友,知不知道 他 跟 什麼 人 有 仇
你 不是 跟 他 在 一起 的 嗎,他 剛 才 還 在 這 裡
難道 柯 南 用 了 我 送給 他 的 禮物 了 嗎,我們 走 吧 ， 博士
辛 多拉 社長 ， 系統 發生 異常,什麼
那 是 在 兩年 前 由 被 我 當成 親生 兒子般 疼愛 的 弘 樹 所 完成 的,所以 現在 應該 跟 弘 樹 是 同樣 年紀
你 控制 孩子 們 的 遊戲 想幹什麼,我 的 目的 是 想要 讓 日本 這個 國家 重生
為 什麼 你 會 在 這 裡,因 為 我 擔心 你 啊
說 了 那麼 多 ， 原來 你 也 很 想 參加 這個 遊戲 啊,是 呀
這 裡 似乎 有 什麼 線索,殺死 堅 村 的 兇手 的 線索
如果 大家 都 出局 的話 ， 我們 真的 會 死 嗎,我 可能 沒 辦法 活下去
為 什麼 我們 會 遇到 這麼 倒霉 的 事,人家 又 不是 因 為 自己 想要 而 成 為 爸爸 的 孩子 的
你們 也 和 我們 一塊 嗎,別 妨礙 我們 哦
這 是 我們 要說 的話 才 對,好 了 好 了 ， 不要 吵架
為 什麼 會 變得 如此 失控,讓 我 來 好好 說明
弘 樹 之所以 想 開發 人工智慧,是 因 為 自己 曾經 有 過 這種 痛苦 的 經歷
若 能 將 「 遵循 父母 所 鋪 的 路 走 就 行 」 這種 社會 現象 加以 破壞 的話,日本 就 會 改變
他 委託 你 調查 什麼 事,他 要 我 再 調查 一次 關於 弘 樹 的 自殺 事件
你 是 說 弘 樹 不是 自殺 而是 他殺 嗎,不 ， 以 那種 情況 來說 應該 是 自殺
堅 村 先生 和 弘 樹 是 什麼 關係,堅 村 是 弘 樹 的 父親
要 進 這 裡 面 去 嗎,走 吧
工 藤 先生 既然 負責 策劃 這個 遊戲 ， 應該 知道 如何 攻關 吧,是 的
只要 能 聯絡,我 就 可以 給予 指示 幫助 他們
好 冷,穿 上 這個 吧
灰 原 ， 穿 上 外套 吧,哎呀 ， 謝謝 你
我 很 怕熱 ， 沒關係 的,謝謝
聽 得到 嗎 ， 柯 南,我 是 阿 笠
怎麼 了 ， 博士,聽不見 啊
那麼 ， 我們 怎樣才能 找到 能 幫助 我們 的 角色 呢,剛 才 警察 不是 已經 說 了 嗎
可是 ， 那 是 出現 在 柯南道 爾 小說 中 的 人物 吧,這個 遊戲 可能 是 個 將 現實 與 小說 融合 在 一起 的 世界
那 幫助 我們 的 人 是 那位 夏洛克 福爾摩斯 嗎,是 ， 他 應該 是 存 在於 這個 世界 的
真的 嗎 ， 有 福爾摩斯 的話,就 等於 多 了 100 人 的 力量 啊
我們 快 走 吧 ， 去 貝克 街,好 啊 ， 只要 能 見到 福爾摩斯
喂 ， 你 不 覺得 那個 鐘 有點 怪 嗎,分針 倒回去 了
這 是 什麼 意思,是 在 被 幹掉 之前 先 把 對方 幹掉 吧
這麼晚 了 ， 是 哪位,我 ， 我 叫 毛利蘭
喂 ， 博士,到底 是 怎麼回事 啊
可惡 ， 如果 孩子 們 贏 了,我 就要 把 你 這種 電腦 扔 到 大型 垃圾 回 收場
就是 你們 在 兩個 禮拜 前 幫助 福爾摩斯 先生 破案 立 了 大功 吧,來 吧 ， 快 請進來 吧
那 是 什麼,福爾摩斯 僱傭 的 流浪 小孩 們
也 就是 我們 少年 偵探團 的 前輩,沒錯
你們 先 放鬆 休息 吧,謝謝 你
我們 該 怎麼 做 呢,那個 戴眼鏡 的 一定 知道
既然 是 福爾摩斯,那 他 一定 收集 了 很多 關於 開膛手 傑克 的 資料
那麼 ， 大家 分頭來 找找看 吧,好 ， 那 我 找 這邊
既然 這樣,我 好 想 一直 呆 在 遊戲 裡 啊
有 了 ， 是不是 這個,關於 開膛手 傑克 的 調查
那傢伙 是 誰 啊,自顧自 說 ， 我們 可不 明白 啊
他 是 福爾摩斯 的 宿敵,控制 著 倫敦 的 黑暗 勢力
據說 他 對 整個 歐洲 都 有 著 很大 的 影響力,犯罪 界 的 拿 破 侖
既然 教授 不 露 身影,那 我們 就 去 找 跟 他 有關 的 人 好 了
哇 ， 是 真槍 耶,放 回去 ， 元 太
可是 我們 不是 要 去 見 危險 的 傢伙 嗎,還 沒用 慣 的 武器 是 派 不 上 用場 的 ， 只 會 惹出 麻煩
你們 怎麼 也 進來 了,想 一個 人 獨佔 功勞 ， 門 都 沒有
他 在 出老千,你 看得出來 嗎
你 有 我 出老千 的 證據 嗎,當然 有
莫 蘭 ， 你 太 卑鄙 了,是 你 自己 要 上當 的
莫 里亞蒂 教授 在 哪兒,小鬼 ， 你 怎麼 會 知道 他 的
我 被 打倒 了,這樣 我 就 還 了 你 救 我 的 人情 了
本來 打算 抓住 你們 後 再 逼問 你們 是 誰 的 手下,不過 現在 看來 沒有 必要 了
那 你 就 開槍 吧,即使 教授 的 紅酒 被 打破 也 沒關係 的話
你 想 違抗 莫 里亞蒂 大人 嗎,我 將 他們 帶來 了
把 那 瓶 紅酒 交給 我 吧,好 的
你 能 和 莫 蘭 上校 互相 較量,不愧 是 福爾摩斯 的 弟子
聲音 全都 是 教授 用 腹語 講 的 ， 對 吧,沒想到 連 這點 都 被 你 看穿
你 是 怎麼 知道 的,因 為 剛 才 莫 蘭 上校 對 大叔 說 「 請等一下 」
只有 這點 而已 嗎,還有 一點
你 是 在 還 他 紅酒 時 聞到 這股 味道 的 是 嗎,是 的
為 什麼 要 殺害 無辜 的 女性 呢,開膛手 變成 了 超乎 我 想像 的 殺人 惡魔
你 要 命令 他殺 誰,看 明天 的 報紙 就 知道 了
喂 ， 你 真的 相信 這個 老頭 說 的話 嗎,賭 賭 看吧
我 很 喜歡 福爾摩斯 當時 所說 的 一句 話 ， 你 知道 是 什麼 嗎,不 知道
已經 過去 的 事 即使 後悔 也 沒用 了,你們 會 這麼 想 已經 可以 算是 成長 了
據說 是 福爾摩斯 一生 中 唯一 愛 過 的 女人,也 就是 把 福爾摩斯 所愛 的 人 作 為 殺害 的 目標
請問 休息室 在 哪 裡,就 在 最 裡 面 貼 有 海報 的 房間
福爾摩斯 人 呢,他 本來 很 期待 今晚 的 演出 ， 因 為 出去 調查 案件 了 ， 所以 沒法 來
為 什麼 要 殺 我,因 為 他 想 看到 福爾摩斯 失去 你 之後 悲傷 的 表情
你 真的 無所謂 嗎 ？ 成 為 開膛手 傑克 的 第五個 犧牲者,大家 會 保護 我 的 ， 不是 嗎
雖然 找 不到 幫助 我們 的 角色,但 對 我們 而言 你 就是 福爾摩斯
你 ， 你 擁有 這種 能力,沒有 什麼 案子 是 福爾摩斯 解決不了 的 對 吧
我 還 沒 問 你 的 名字 呢,我 叫 江戶 川 柯 南
請 將 乘客 集中 到 同一 節車廂 中,知道 了
那麼 各位 ， 請 舉起 雙手,好 讓 我們 確認 手上 是否 持有 凶器
難道說 這 隻 小 戒指 是 開膛手 傑克 的 嗎,是 的
開膛手 傑克 因 為 很 想 跟 母親 一起 參加 義賣會 所以 才 留下 戒指 的 是 嗎,嗯 ， 好像 是 這 意思
如果 從小 就 一直 戴 著 同樣 尺寸 的 戒指 的話 ， 你 想 那根 手指 會 變成 什麼樣 呢,也許 十根 手指 裡 面 只有 那根 手指 特別 的 細
你 知道 兇手 是 誰 了 嗎,問題 在於 兇手 是 如何 準備 凶器 的
因此 可以 想到 的 只能 是,凶器 是從 一 開始 就 佈置 在 會場 裡 的 東西
可是 ， 那個 東西 在 哪 裡,晚會 會場 裡 的 銅像 其中 有 一尊 握 著 短劍
要是 去 拔 那個 東西 肯定 會 被 人 看到 的,趁 會場 的 燈光 熄滅 時 拔下來 的
可是 ， 要是 短劍 不見 了 的話 ， 應該 會 有人 發現 的 吧,他 放 了 假 的 在 上面
那 現在 銅像 手上 拿 的 就是 作案 時 使用 的 短劍 咯,是 的
如果 剛 才 踢下來 的 短劍 是 真的 ， 應該 也 會 檢測 出 少年 的 指紋 才 對,可是 短劍 上 只有 辛 多拉 社長 一個 人 的 指紋
聽說 銅像 上 的 短劍 是 辛 多拉 家族 歷代 家傳 的 古董 寶貝 ， 是 吧,你 說 的 沒錯
殺死 母親 ， 報 了 多年 的 怨恨 後 ， 現在 你 還 想要 什麼,我 想要 活下去
讓 流 在 我 身體 裡 的 罪惡 之 血,乘 著 諾亞方舟 流傳 到 下個世紀
這 把 短劍 呢,據說 是 一百年 前 的 連續 殺人 惡魔 ， 開膛手 傑克 所 使用 過 的 凶器
為 什麼 你 不 加以 抗爭 呢,就 像 現在 的 柯 南 他們 一樣
你 知道 是 什麼 嗎,不 知道
如果 真的 可以 將 你 毀滅 的話,為 了 公 眾 的 利益 我會 很 樂意 迎接 死亡
喂 ， 如果 不 把 列車 停下 我們 還 能 存活 下去 嗎,我們 還 不能 說 已經 贏 了 這場 遊戲 啊
難道 你 想 辜負 大家 的 希望 嗎,傻瓜 ， 我 也 不想 放棄 啊
讓 大家 得救 的 唯一 方法,只有 切斷 火車頭 與 客車 車廂 的 連接 部分 才 行
可是 只 靠 我們 兩 人 的 力量,根本 掰 不 動 那個 連接 部分
你們 還 沒有 渾身 浴血,你們 還 活 著 不是 嗎
你們 已經 放棄 了 嗎,你們 明明 已經 把手 放在 了 解開 真相 的 繩結 上 了
在 人生 這條 無色 的 繩索 中 纏繞 著 一條 叫作 殺人 的 紅色 繩索,而 我們 的 工作 不 就是 解開 這個 結 嗎
到底 是 怎麼回事,先別 問 ， 快 過來
你 借用 了 諸 星 的 數據 一起 參加 了 這個 遊戲 是 吧,你 是 什麼 時候 發現 的
你 不用 擔心,現在 我 已經 把 跟 現實 世界 的 通信 切斷 了
其實 你 相信 我們 一定 會 團結一致 克服 所有 的 危機,不是 嗎
哪怕 一次 也好,因 為 我 總是 在 工作
第一次 見面 時說 的 那句話 嗎,奇怪 ， 你 是 怎麼 知道 的
我 也 是從 新 一 哥哥 那 裡 聽來 的,原來 是 這樣 啊
還 多虧 他 纏 著 我們 講,所以 這次 我們 才 得救 了
多 里 亞 先生 嗎,我 是 佛吉尼亞 · 古德曼
進來 吧,謝謝
給 我 兩分鐘 時間 穿衣服,好 的
我 以 為 你 會 晚點 到,沒錯 ， 遺憾 的 是 ， 出 了 點 狀況
我 打 不通 菲利克斯 的 電話,他 出 城 了
但 他 向 我 保證 我 不會 有事 ， 他 有 個 計策 . . .,他 上次 也 跟 我 這麼 說
但 我們 仍 不 知道 是 什麼 ， 我 現在 只 知道 一件 事,什麼
你 今晚 很 可能 被 傳喚 參加 聽證會,你 在 說 什麼
如果 我 有 想 補充 的 ， 你 覺得 我會 到 現在 還 沒 說 嗎,他們 會 提請 將 你 立即 逮捕 ， 多 里 亞 先生
為 什麼 是 這家 離 你 住處 300 公里 遠 的 酒店,不 知道
把 你們 叫 到 那麼 偏遠 的 地方 ， 不 覺得 奇怪 嗎,這 有 關係 嗎
你 和 你 的 情婦 以前 去過 那 裡 嗎,古德曼 女士 ， 我 被 指控 謀殺 ， 這 才 是 問題
怎麼 了,他 拿到 了 你 的 手機
我會 解釋 一切 ， 來 貝拉 維斯塔 酒店 715 號房,這 是 圈套
醒 後 最先 是 什麼 情況 ， 記得 嗎,有 敲門聲
按 你 的 說法 來看 ， 殺害 你 情婦 的 兇手 只能 是 蒸發 了,看起來 是 這樣
酒店 職工 說 只有 你 有 鑰匙,那個 作案現場 是 用來 陷害 我 的
誰 設 的,不 知道
出於 什麼 原因,我 不 知道
不然 你 知道 會 怎麼樣 嗎,怎麼樣
你 會 不會 被 判罪 ， 不是 我 的 職責,你 錯 了
我 告訴 你 這 是 場 陰謀 ， 你 會 怎麼 想,我 跟 你 說 了 怎麼回事 ， 你 還要 我 說 什麼
親愛 的 ， 巴黎 之 行 怎麼樣,法國人 太 噁心 了
談 得 不 順利 ?,我們 沒 達成 共識
索尼婭 ， 我 得 去 機場 了,好 的 ， 你 要 回家 還是 回 巴 賽 隆 納 待 著
登機 後 給 我 發條 簡訊 ， 我愛你,我 也 愛 你
是 誰,索尼婭
幾點 了,快 六點 了 ， 我們 睡 過頭 了
導航 上 不是 這個 方向,往 這條 路 開 更 快
要 我 開 嗎,來 ， 開 吧
我 喜歡 我們 在 一起 的 感覺,還 記得 我們 起初 說 過 的話 嗎
你 想 離開 索尼婭 ?,不想
你 沒事 嗎,應該 沒事
聽 著 ， 我們 沒錯 ， 都 怪 那 頭 該死 的 鹿,我 開 得 太 靠左 了
你 在 說 什麼,要 嘛 犧牲 他 ， 要 嘛 犧牲 我們 ， 阿德里安
糟糕,怎麼 了
他 要是 看到 了 什麼 怎麼辦,沒有
他 要是 看到 了 車 裡 的 人 呢,得 把 人 帶走
你 瘋 了 嗎,他 是 目擊者 ， 懂嗎
你好,你好 ， 一切 都 好 嗎
你 有 手電筒 嗎,這車 是 我 姊姊 借來 的 ， 所以 我 不 知道 放 哪 了
要 多久,修理
拖車 ?,不是 ， 修理
你 怎麼 來 這 裡 了,我 姊姊 住 在 巴瓦 斯特羅
你 是 做 什麼 的,我 是 開 書店 的
你 還 沒 告訴 我 你 的 名字,拉 奎爾
拉 奎爾 ， 你 的 手機 響 了,沒錯
你 的 航班 是 幾點 的,我 正 想 打電話 跟 你 說 我 趕不上 了
這 裡 干擾 太 多 了 ， 你 趕不上 是 出 什麼 事 了 嗎,沒有 ， 只是 引擎 出 了 問題
蘿 拉 ， 你 沒事 吧,我 沒事 ， 很 抱歉 我 沒 早點 打電話 給 你
我愛你,我 也 愛 你
很 高興 認識 你,我 也 是
你 受傷 了 嗎 ， 你 的 手腕 上 有 血,可能 是 鹿 身上 的
你 要 喝咖啡 嗎,好 的
進來 吧,不了 ， 我 就 在 這 等
你 有 孩子 嗎 ， 我 看到 你 戴 著 . . .,沒有 ， 沒有
我 丈夫 想要 ， 我 也 想要 ， 但 工作 太 忙 ， 所以 . . .,別 拖 太久 就 好
留下 吃晚飯 嗎,已經 很 晚 了 ， 我 得 走 了 ， 抱歉
他 有 對 你 說 過 什麼 嗎,或許 他 改 主意 了
為 什麼 撒謊,或許 他 認識 了 一個 姑娘
你 聽到 了 嗎,聽到 了
你 在 這 裡 有 聽到 電話 鈴聲 嗎,沒
他 出門 從不 會 不 帶 手機,他 大概 忘記 帶 了
你 怎麼 看 ， 拉 奎爾,很 遺憾 ， 太晚 了 ， 我 真的 得 走 了
不好意思,沒事
菲利克斯 ， 你 在 哪,我 剛 下 飛機 ， 在 畢爾巴鄂 的 機場
佛吉尼亞 · 古德曼 在 我 這 ， 她 說 控方 比 我們 領先 一步,領先 一步 ?
你 什麼 時候 回來,今晚 ， 把 電話 給 她
菲利克斯 ?,怎麼回事
有 個 新 的 證人 ， 現在 在 法院 了,佛吉尼亞 ?
報告 中 沒有 這個 ， 你 怎麼 知道,這 和 細節 有關 ， 多 里 亞 先生
這 是 什麼 意思,聽 著
然後 呢,這 名 女子 的 車牌號
你 為 什麼 那麼 緊張,你 不 告訴 我 ， 我 沒法 幫 你
你 跟 那 起 男孩 失蹤案 有關 嗎,我 當時 不在 巴黎
我 和 一個 女人 在 一起,所以 伊娃 證明 不了 你 去過 巴黎
你 能 偽 造成 我 去過 嗎 ， 幫 我 搞 個 不 在場 證明 ?,我 有 的 選 嗎
我 還有 一件 事 要 你 幫忙,什麼
我 不想 警方 報告 中 有 我,我會 處理
你 告訴 她 警方 要 你 指認 她 時 ， 她 什麼 反應,我 沒 跟 她 說 過 這個
你 在 哪 給 我 打電話,電話亭
在 有 監視器 的 地方 打電話 很 不明智 啊 ， 多 里 亞 先生,我 知道 ， 我 當時 很 緊張
那 你 什麼 時候 打 的 ， 為 什麼 打,我 意識 到 她 會 不擇手段 的 時候
準備 好 出海 遊玩 了 嗎,我 剛 接到 個 重要 電話 ， 我 要 去 跟 李先生 會面
你 在 哪 給 我 打電話,電話亭
這 是 什麼,那個 男孩 的 錢包
你 當 陪審團 是 白癡 嗎,蘿 拉 曾 在 銀行 上班
難道 蘿 拉 一直 在 學習 這方面 的 知識 ?,或許 她 丈夫 幫忙 了
你 知道 你 做 了 什麼 嗎,你 覺得 呢
怎麼 了,怎麼 了 ， 別 那樣 看 著 我
你 沒 報警 ， 因 為 你 知道 這麼 做 是 對 的,不是 ， 這麼 做 是 錯 的
多 里 亞 先生 ， 你 感覺 怎麼樣,非常高興
你 知道 我 是 誰 嗎,我 只 知道 你 不是 伊凡 · 索 托
你 怎麼 確定 呢,我 跟 你 說 過 了
我 的 兒子 在 哪,我 向 你 保證 ， 你 搞錯 了
是不是 被 你 處理 掉 了,就 像 這樣 ?
地址 ?,別 爾 赫 聖 雷 蒙 街 5 號
會 讓 你 想到 什麼 呢,讓 我 想到 那 家 酒店 的 謎團
出於 什麼 目的 呢,為 了 勒索 我們 ， 他 知道 我們 是 罪魁禍首
你 有 更好 的 主意 嗎,我 問 你 三個 問題
你 明白 了 嗎,給 控方 的 回答 要 確切
你 找 了 個人 教 我 在 受審 時 怎麼 說 ?,她 是 打官司 的 最佳 律師
你 瞭解 橫向 思維 的 概念 嗎 ， 多 里 亞 先生,就是 改變 角度 去 看待 已 給 的 問題
如果 謎團 的 答案 並 不在 那 間 房間 裡 面 ， 而是 在 外面 呢,她 現在 在 別 爾 赫 附近 上班 ， 離家 20 分鐘 的 路程
是 那樣 嗎,你 自投羅網 ， 還 送 上 了 蘿 拉
午安,午安
有人 嗎,裡 面 沒事 吧
晚安,晚安
哪 裡 的 聲響,715 號房
你 為 什麼 不 說出 真相,因 為 對於 湯瑪斯 · 加里 多 不留 蹤跡 地 消失 一事 ， 我 想 聽聽 你 的 說法
你 不是 來 給 我 辯護 的 嗎,那 就 做好 你 的 工作
我 向 你 保證 ， 我 的 連勝 記錄 不會 在 我 最後 一起 案子 上 被 打破,所以 ， 從現在起 ， 你 要 按 我 說 的 做
從現在起 ， 別 再 有所 隱瞞,沒有 了
沒有 了 ?,沒有 了
這 有 什麼 錯 嗎,你 說 的 一切 或許 都 發生 了
但 如果 是 你 打破 了 永不相見 的 約定,而 不是 蘿 拉 呢
你 在 幹嘛,我 在 報警
他 要是 看到 了 什麼 怎麼辦,沒有
那 就 向 我 承認 你 殺 了 蘿 拉,我 承認
你 有 咖啡 嗎,有
菲利克斯,怎麼 搞 的
我 手機 關機 了 ， 有 什麼 事,我 找到 他 了 ， 能 說 你 當時 不在 那
我們 可以 信任 他 嗎,絕對 可以
你 和 佛吉尼亞 · 古德曼 怎麼樣,我 不得不 把 所有 的 事 都 告訴 了 她
所有 的 事 ?,所有 的 事
你 覺得 怎麼樣,你 說 得 沒錯
她 真的 很棒,我們 可以 信任 她
哪 來 的,你 不是 很 聰明 嗎 ， 你 告訴 我 啊
我們 只 想 找到 他 ， 把 他 安葬,對 司法機關 失望 的 他們 ， 決定 觀察 敵人 ， 伺機而動
